trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.9194312560951247}",25,0,-144.3848490710608,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
43,False,"{'a': 0.2, 'e': 0.9175942312201509}",25,3,-136.5396415254973,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 2}",1
44,False,"{'a': 0.2, 'e': 0.9157608767233256}",25,0,-133.87376991276435,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.2, 'e': 0.9139311852712282}",25,0,-273.00626224580134,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 5}",0
46,False,"{'a': 0.2, 'e': 0.9121051495450904}",20,0,-141.629460216919,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
47,False,"{'a': 0.2, 'e': 0.910282762240767}",20,0,-51.37926706770361,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
48,False,"{'a': 0.2, 'e': 0.9084640160687062}",20,0,-48.89759260202582,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",0
49,False,"{'a': 0.2, 'e': 0.9066489037539209}",20,0,-97.68728335517983,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
50,False,"{'a': 0.2, 'e': 0.9048374180359595}",20,6,-52.699226933614966,"{0: 9, 1: 2, 2: 1, 3: 2, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.9030295516688768}",30,0,-87.6802010385603,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.2, 'e': 0.9012252974212047}",20,0,-226.28034025444543,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
53,False,"{'a': 0.2, 'e': 0.899424648075924}",25,0,-61.3495139716481,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.8976275964304349}",25,0,-106.12891620088094,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.8958341352965282}",25,0,-155.6128488055991,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.2, 'e': 0.8940442575003572}",30,0,-152.90056296542667,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
57,False,"{'a': 0.2, 'e': 0.8922579558824083}",20,0,-217.09387374610768,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 5}",0
58,False,"{'a': 0.2, 'e': 0.8904752232974726}",25,0,-59.929421645751795,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.2, 'e': 0.8886960526146174}",30,0,-195.96822289918683,"{0: 18, 1: 3, 2: 2, 3: 5, 4: 2}",0
60,False,"{'a': 0.2, 'e': 0.8869204367171575}",25,0,-135.13957743341183,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
61,False,"{'a': 0.2, 'e': 0.8851483685026271}",20,0,-35.112189131223595,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.8833798408827509}",25,0,-174.6371375158002,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
63,False,"{'a': 0.2, 'e': 0.8816148467834161}",25,0,-276.66546526723977,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 5}",0
64,False,"{'a': 0.2, 'e': 0.8798533791446438}",30,0,-35.394628628486444,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
65,False,"{'a': 0.2, 'e': 0.8780954309205613}",20,11,-39.13323689303692,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.2, 'e': 0.8763409950793732}",25,0,-215.9233846392187,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
67,False,"{'a': 0.2, 'e': 0.874590064603334}",25,0,-152.87713631078168,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
68,False,"{'a': 0.2, 'e': 0.8728426324887193}",20,0,5.343078358557664,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.2, 'e': 0.8710986917457983}",20,0,-74.49131975769352,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
70,False,"{'a': 0.2, 'e': 0.8693582353988059}",20,15,-13.451238600433431,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.867621256485914}",20,0,-53.58437500477264,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
72,False,"{'a': 0.2, 'e': 0.865887748059205}",25,0,-142.85866128825393,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
73,False,"{'a': 0.2, 'e': 0.8641577031846428}",20,6,-81.68858685444712,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
74,False,"{'a': 0.2, 'e': 0.8624311149420455}",25,0,-122.1232647959633,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",1
75,False,"{'a': 0.2, 'e': 0.8607079764250578}",20,0,-30.942419933858226,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
76,False,"{'a': 0.2, 'e': 0.8589882807411234}",25,0,-249.05452221524905,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 4}",0
77,False,"{'a': 0.2, 'e': 0.8572720210114575}",30,0,-89.71775768497699,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
78,False,"{'a': 0.2, 'e': 0.8555591903710185}",30,0,-164.5381839865731,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
79,False,"{'a': 0.2, 'e': 0.8538497819684817}",20,0,-56.31570161480133,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
80,False,"{'a': 0.2, 'e': 0.8521437889662113}",20,0,-55.12281733232179,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
81,False,"{'a': 0.2, 'e': 0.850441204540233}",25,8,-56.80737403095702,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.8487420218802068}",30,0,-79.76463194595625,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
83,False,"{'a': 0.2, 'e': 0.8470462341893996}",30,0,-185.2580481717082,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
84,False,"{'a': 0.2, 'e': 0.8453538346846587}",25,0,-135.6230961383504,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
85,False,"{'a': 0.2, 'e': 0.8436648165963837}",30,0,-183.1385175496738,"{0: 18, 1: 1, 2: 6, 3: 3, 4: 2}",0
86,False,"{'a': 0.2, 'e': 0.8419791731684999}",25,11,-77.36858179394977,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
87,False,"{'a': 0.2, 'e': 0.8402968976584314}",25,2,-78.20026096335457,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 1}",1
88,False,"{'a': 0.2, 'e': 0.838617983337074}",30,0,-187.12086853007597,"{0: 18, 1: 5, 2: 0, 3: 5, 4: 2}",0
89,False,"{'a': 0.2, 'e': 0.8369424234887681}",20,0,-69.86665409761194,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.835270211411272}",35,0,-131.54173702010195,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
91,False,"{'a': 0.2, 'e': 0.8336013404157353}",25,3,-120.46772737146209,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 2}",1
92,False,"{'a': 0.2, 'e': 0.8319358038266718}",25,0,-185.95853210036375,"{0: 16, 1: 1, 2: 2, 3: 3, 4: 3}",0
93,False,"{'a': 0.2, 'e': 0.8302735949819326}",30,0,-158.15640137559072,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
94,False,"{'a': 0.2, 'e': 0.8286147072326806}",30,1,-196.79190272022606,"{0: 14, 1: 2, 2: 8, 3: 4, 4: 1}",1
95,False,"{'a': 0.2, 'e': 0.8269591339433623}",20,1,-123.75722856776652,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 2}",1
96,False,"{'a': 0.2, 'e': 0.8253068684916823}",25,0,-147.56875472835182,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
97,False,"{'a': 0.2, 'e': 0.8236579042685769}",30,0,-73.60960809584012,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
98,False,"{'a': 0.2, 'e': 0.8220122346781865}",25,15,-38.00793965335559,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.2, 'e': 0.8203698531378311}",25,0,-129.73642165945668,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
100,False,"{'a': 0.2, 'e': 0.8187307530779818}",25,0,-197.6447006901782,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
101,False,"{'a': 0.2, 'e': 0.8170949279422366}",20,0,-110.23936082447463,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
102,False,"{'a': 0.2, 'e': 0.8154623711872927}",20,0,-77.50940410518204,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
103,False,"{'a': 0.2, 'e': 0.8138330762829207}",25,0,-74.05463444509176,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
104,False,"{'a': 0.2, 'e': 0.812207036711939}",30,0,-90.93230692594148,"{0: 19, 1: 7, 2: 2, 3: 1, 4: 1}",0
105,False,"{'a': 0.2, 'e': 0.8105842459701871}",20,0,-153.40858572366676,"{0: 9, 1: 3, 2: 3, 3: 4, 4: 1}",0
106,False,"{'a': 0.2, 'e': 0.8089646975664998}",20,0,-129.57461778103334,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
107,False,"{'a': 0.2, 'e': 0.8073483850226815}",30,0,-198.89589863062398,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 4}",0
108,False,"{'a': 0.2, 'e': 0.8057353018734796}",20,0,-80.33087016414206,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
109,False,"{'a': 0.2, 'e': 0.8041254416665596}",20,0,-52.02397584618941,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.2, 'e': 0.8025187979624785}",20,0,-118.5117838605336,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
111,False,"{'a': 0.2, 'e': 0.8009153643346592}",20,0,-59.8136003568761,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
